year_month,total_trips,avg_passenger_count,avg_amount_paid,avg_amount_per_passenger,busiest_day,busiest_hour
2014-01,14343659,2,14.43,11.69,Friday,19
2014-02,13838984,2,14.55,11.85,Friday,19
2014-03,16445418,2,14.72,11.98,Saturday,23
2014-04,15676272,2,15.01,12.18,Wednesday,19
2014-05,15937538,2,15.58,12.62,Friday,19
2014-06,14907706,2,15.59,12.63,Sunday,0
2014-07,14145350,2,15.25,12.35,Wednesday,19
2014-08,13660069,2,16.17,13.18,Friday,19
2014-09,14512362,2,15.61,12.72,Tuesday,19
2014-10,15570034,2,15.61,12.74,Friday,19
2014-11,14619164,2,15.41,12.53,Saturday,19
2014-12,14512119,2,15.58,12.67,Tuesday,19
2015-01,14019233,2,14.79,12.11,Friday,19
2015-02,13790359,2,15.26,12.54,Friday,19
2015-03,14815468,2,15.65,12.82,Sunday,0
2015-04,14492867,2,15.88,12.99,Thursday,19
2015-05,14702555,2,16.28,13.26,Friday,19
2015-06,13738324,2,16.17,13.19,Tuesday,19
2015-07,12890683,2,15.96,12.97,Wednesday,19
2015-08,12452984,2,15.99,12.97,Saturday,23
2015-09,12493890,2,16.27,13.27,Wednesday,19
2015-10,13700346,2,16.32,13.33,Friday,19
2015-11,12607117,2,16.15,13.21,Sunday,1
2015-12,12829501,2,16.08,13.08,Thursday,21
2016-01,12137793,2,15.47,12.69,Friday,19
2016-02,12670330,2,15.41,12.69,Monday,18
2016-03,13550759,2,15.82,12.99,Thursday,19
2016-04,13240058,2,16.03,13.14,Friday,19
2016-05,13142131,2,16.46,13.47,Tuesday,18
2016-06,12320968,2,16.49,13.52,Thursday,21
2016-07,11419155,2,16.24,13.25,Friday,18
2016-08,10992879,2,16.18,13.22,Wednesday,19
2016-09,11082981,2,16.7,13.71,Friday,19
2016-10,11903418,2,16.37,13.43,Saturday,19
2016-11,11054649,2,16.33,13.44,Tuesday,19
2016-12,11468379,2,15.97,13.06,Friday,19
2017-01,10598061,2,15.22,12.56,Tuesday,18
2017-02,10018322,2,15.36,12.69,Friday,19
2017-03,1119054,1,13.9,12.49,Friday,19
2017-04,10933376,2,16.06,13.22,Saturday,19
2017-05,10969656,2,16.44,13.57,Wednesday,19
2017-06,10448903,2,16.35,13.48,Thursday,21
2017-07,9331272,2,16.17,13.25,Monday,18
2017-08,9124258,2,16.18,13.28,Tuesday,18
2017-09,9641692,2,16.47,13.55,Friday,19
2017-10,10476252,2,16.41,13.51,Tuesday,18
2017-11,9931776,2,16.25,13.39,Wednesday,18
2017-12,10173214,2,15.96,13.03,Friday,19
2018-01,9330058,2,15.34,12.68,Wednesday,18
2018-02,9049335,2,15.35,12.73,Friday,18
2018-03,10015084,2,15.82,13.07,Thursday,18
2018-04,9860500,2,16.22,13.39,Monday,18
2018-05,9776479,2,16.71,13.81,Thursday,19
2018-06,9212663,2,16.6,13.71,Friday,19
2018-07,8310836,2,16.34,13.44,Tuesday,18
2018-08,8291775,2,16.39,13.49,Wednesday,18
2018-09,8474312,2,16.78,13.89,Saturday,18
2018-10,9248410,2,16.88,14.02,Tuesday,18
2018-11,8524195,2,16.73,13.87,Friday,18
2018-12,8563143,2,16.42,13.5,Monday,18
2019-01,8015398,2,15.53,12.94,Thursday,18
2019-02,7326537,2,18.35,15.24,Friday,18
2019-03,8131221,2,18.86,15.61,Friday,18
2019-04,7661324,2,18.94,15.62,Tuesday,18
2019-05,7767173,2,19.28,15.91,Thursday,18
2019-06,7123018,2,19.41,16,Saturday,17
2019-07,6431429,2,19.17,15.74,Tuesday,18
2019-08,6164719,2,19.16,15.7,Thursday,18
2019-09,6635854,2,19.49,16.11,Thursday,19
2019-10,7246762,2,19.36,16.03,Wednesday,18
2019-11,6894119,2,19.02,15.73,Friday,18
2019-12,6904198,2,19.17,15.75,Tuesday,18
2020-01,6392814,2,18.22,15.23,Thursday,18
2020-02,6291817,2,18.24,15.28,Friday,18
2020-03,3001627,1,17.99,15.26,Monday,18
2020-04,223961,1,15.59,14.11,Wednesday,15
2020-05,293606,1,16.05,14.34,Friday,15
2020-06,496248,1,17.03,14.97,Tuesday,15
2020-07,721367,1,16.88,14.68,Thursday,14
2020-08,916014,1,16.96,14.61,Monday,14
2020-09,1228217,1,16.73,14.38,Wednesday,15
2020-10,1547262,1,16.65,14.29,Thursday,15
2020-11,1388732,1,16.52,14.23,Monday,15
2020-12,1341488,1,16.49,14.19,Tuesday,14
2021-01,1245312,1,16.53,14.26,Friday,15
2021-02,1245852,1,16.69,14.41,Friday,18
2021-03,1751524,1,16.84,14.51,Wednesday,17
2021-04,1987995,1,17.6,15.1,Friday,14
2021-05,2317067,1,18.28,15.55,Saturday,17
2021-06,2631248,1,18.92,15.97,Wednesday,18
2021-07,2605940,1,19.36,16.16,Thursday,18
2021-08,2563254,1,19.64,16.48,Tuesday,18
2021-09,2727068,1,20.08,16.96,Wednesday,18
2021-10,3240347,1,19.91,16.82,Friday,18
2021-11,3261738,1,20.34,17.17,Tuesday,18
2021-12,3036012,1,20.59,17.16,Wednesday,18
2022-01,2335537,1,18.87,16.15,Monday,15
2022-02,2808816,1,19.36,16.56,Friday,18
2022-03,3420091,1,20.39,17.42,Thursday,18
2022-04,3389350,1,20.92,17.62,Friday,18
2022-05,3357532,1,21.74,18.44,Tuesday,18
2022-06,3319114,1,21.59,18.29,Thursday,18
2022-07,2974894,1,21.21,17.7,Friday,18
2022-08,2968579,1,21.37,17.87,Tuesday,18
2022-09,2977340,1,22.35,18.98,Friday,18
2022-10,3428842,1,21.98,18.66,Monday,18
2022-11,3045828,1,21.78,18.51,Tuesday,18
2022-12,3167323,1,24.36,20.27,Thursday,18
2023-01,2922303,1,27.2,23.34,Tuesday,18
2023-02,2768679,1,27.15,23.4,Thursday,18
2023-03,3230147,1,28.06,24.18,Thursday,18
2023-04,3112244,1,28.55,24.18,Saturday,18
2023-05,3317735,1,29.23,25.03,Wednesday,18
2023-06,3119549,1,29.2,24.92,Thursday,18
2023-07,2745335,1,28.92,24.29,Thursday,18
2023-08,2662230,1,29.05,24.48,Thursday,18
2023-09,2640970,1,30.04,25.78,Wednesday,18
2023-10,3277275,1,29.6,25.36,Tuesday,18
2023-11,3124146,1,29.13,25,Thursday,18
2023-12,3108174,1,28.98,24.29,Friday,18
2024-01,2754690,1,27.25,23.6,Wednesday,18
2024-02,2749126,1,27.25,23.71,Thursday,18
2024-03,3067156,1,28.19,24.37,Friday,18
2024-04,3018443,1,28.57,24.65,Tuesday,18
2024-05,3226195,1,29.21,25.32,Thursday,18
2024-06,3035134,1,28.96,24.98,Thursday,18
2024-07,2710096,1,29.29,24.99,Tuesday,18
2024-08,2630897,1,29.5,25.07,Thursday,18
2024-09,3051818,1,30.07,26.25,Thursday,18
2024-10,3330982,1,29.75,25.86,Wednesday,18
2024-11,3172708,1,28.7,24.83,Friday,18
2024-12,3224112,1,29.37,25,Tuesday,18
